algo,kp,ki,beta,drift_roll,drift_pitch,drift_yaw,noise_roll,noise_pitch,dyn_roll,dyn_pitch,score
Mahony,5.0,0.05,,-7.042079320888459,0.26677768086751963,-0.6116782724756631,0.10277962011458087,0.03451643345611052,10.091641426086426,3.4238805770874023,0.09925370950842392
Mahony,5.0,0.1,,-9.64727136847786,-3.427981887576232,-3.075839667232487,0.1068532571292369,0.03480513353196264,10.303988456726074,3.4238393306732178,0.10182818791244543
Mahony,5.0,0.3,,-33.66067121111275,-33.17017437769236,-26.493608288839628,0.11956587670924045,0.03698663126953213,12.642254829406738,3.419509172439575,0.1297266411363389
Mahony,5.0,0.5,,-73.81648201393585,-73.0192080975729,-66.03488545505384,0.14355819858940846,0.06429377374046245,13.067902565002441,3.4148943424224854,0.13635962187257478
Mahony,5.0,1.0,,-219.3884125127471,-162.28416901147804,-210.11546515396282,0.6337551284007399,0.26128931921113857,12.943787574768066,3.4103200435638428,0.14165271432904294
Mahony,10.0,0.0,,-6.522257069321894,-0.606899918042675,-0.22749115822006355,0.12065719943820225,0.016179122895834997,13.636770248413086,5.123345851898193,0.21614357795565906
Mahony,10.0,0.01,,-6.547807848413653,-0.614292646974748,-0.2258112990308904,0.12090922117710429,0.016179952870646445,13.640978813171387,5.123285293579102,0.21619018522525033
Mahony,10.0,0.05,,-6.7224375837699135,-0.7835999706371344,-0.2911178290844513,0.12189112313956502,0.01618627803342335,13.644407272338867,5.123045921325684,0.21622785176335887
Mahony,10.0,0.1,,-7.097650122363353,-1.2868092491550485,-0.5288175584887447,0.12305909621656395,0.016210333821312758,13.640512466430664,5.122754096984863,0.21619212777117977
Mahony,10.0,0.3,,-10.131525517878012,-5.8902567416922915,-3.0052684390995235,0.12704810427369762,0.016778697833768386,13.636321067810059,5.121709823608398,0.21628595202760215
Mahony,10.0,0.5,,-15.078197937471819,-13.329925137560588,-7.386600062362532,0.12997826083445813,0.018976723903339064,13.63483715057373,5.120910167694092,0.21654317577057206
Mahony,10.0,1.0,,-31.670774883477684,-36.7194759472547,-22.554712793231793,0.13508390980277957,0.03924564124553204,17.957763671875,5.120152950286865,0.2672711868872987
Madgwick,,,0.01,6275.060796576066,699.4707371310429,5.826546707979689,72.52059311204016,0.016424221080233583,31.691097259521484,1.7764524221420288,0.5611919413110066
Madgwick,,,0.03,4.565801647610083,2166.9706422402514,8.912367911943267,0.0044837992128407105,0.0844361595396574,23.403860092163086,1.7285386323928833,0.20599883420127807
Madgwick,,,0.05,19.44110150299627,3643.573876664249,19.05553486303088,0.023704414473157975,0.08023909088890852,21.440269470214844,1.6705890893936157,0.23045583368654
Madgwick,,,0.08,140.99835557832915,5334.692684606139,133.25664447157644,0.3962334943467953,2.910068443169149,17.562105178833008,1.569767951965332,0.28393835890749713
Madgwick,,,0.1,180.1676889395347,5154.40488201308,171.38862415288273,0.3885873213827819,7.430059210829827,17.842649459838867,1.502791166305542,0.33450282497910183
Madgwick,,,0.2,134.47695431201473,2770.3230657985605,131.19135023023384,0.6566129434139499,12.288373169252841,9.680498123168945,1.4602385759353638,0.2583766164093991
Madgwick,,,0.5,88.04459947838689,384.8280768016857,32.179098762953906,14.929437859118249,4.607713411235821,9.652388572692871,2.0115723609924316,0.17949459290249958
Madgwick,,,1.0,228.2204425983366,-0.3297288759591755,0.7807526346118412,51.74986543510206,0.08041925785254642,10.281988143920898,2.799628257751465,0.29717021128423443
